surface,reading,part_of_speech,definitions,jlpt_level,tags
〜かどうか,かどうか,expression,whether or not,N4,grammar
〜について,について,expression,about; concerning,N4,grammar
〜によると,によると,expression,according to,N3,grammar
〜歳,さい,counter,years old (counter),N5,counter
ある,ある,verb,to exist (inanimate); to have,N5,godan
いつも,いつも,adverb,always,N5,adverb
いる,いる,verb,to exist (animate); to be,N5,ichidan
お茶,おちゃ,noun,tea,N5,common
か,か,particle,question particle; or,N5,particle
から,から,particle,from; because,N5,particle
かわいい,かわいい,i-adjective,cute,N5,i-adj
が,が,particle,subject particle,N5,particle
こそ,こそ,particle,precisely; for sure,N4,particle
しか,しか,particle,only (with neg.),N4,particle
した,した,verb,did,N5,irregular
しない,しない,verb,do not do,N5,irregular
します,します,verb,to do (polite),N5,irregular
すぐ,すぐ,adverb,immediately,N5,adverb
する,する,verb,to do,N5,irregular | common
ぜひ,ぜひ,adverb,by all means,N5,adverb
たぶん,たぶん,adverb,probably,N5,adverb
だけ,だけ,particle,only,N5,particle
ては,ては,particle,if; contrast,N4,particle
で,で,particle,by means; at (particle),N5,particle
できる,できる,verb,can do; be able to,N5,ichidan
でも,でも,particle,but; or even,N5,particle
と,と,particle,and; with (particle),N5,particle
など,など,particle,and so on,N5,particle
なる,なる,verb,to become,N5,godan
に,に,particle,to; at; in (particle),N5,particle
には,には,particle,for; in order to,N4,particle
ね,ね,particle,right? (particle),N5,particle
の,の,particle,possessive; nominalizer,N5,particle
は,わ,particle,topic particle,N5,particle
ばかり,ばかり,particle,only; nothing but,N4,particle
へ,へ,particle,toward (particle),N5,particle
ほど,ほど,particle,degree; about,N5,particle
まだ,まだ,adverb,still; not yet,N5,adverb
まで,まで,particle,until; as far as,N5,particle
も,も,particle,also (particle),N5,particle
もう,もう,adverb,already,N5,adverb
もちろん,もちろん,adverb,of course,N5,adverb
や,や,particle,and (among others),N5,particle
ゆっくり,ゆっくり,adverb,slowly,N5,adverb
よ,よ,particle,I tell you (particle),N5,particle
よく,よく,adverb,often; well,N5,adverb
より,より,particle,than; from,N5,particle
を,を,particle,object particle,N5,particle
コピー,こぴー,noun,copy,N4,work
コーヒー,こーひー,noun,coffee,N5,common
ドア,どあ,noun,door,N5,common
バス,ばす,noun,bus,N5,common
メール,めーる,noun,email,N4,work
ルール,るーる,noun,rule,N4,common
一つ,ひとつ,counter,one (thing),N5,counter
丁寧語,ていねいご,noun,polite speech,N4,register
三つ,みっつ,counter,three (things),N5,counter
上手,じょうず,na-adjective,skillful,N5,na-adj
上手に,じょうずに,adverb,skillfully,N5,adverb
下手,へた,na-adjective,unskillful,N5,na-adj
不便,ふべん,na-adjective,inconvenient,N5,na-adj
主語,しゅご,noun,subject (grammar),N3,grammar
乗る,のる,verb,to ride,N5,godan
予定,よてい,noun,plan; schedule,N4,common
二つ,ふたつ,counter,two (things),N5,counter
五つ,いつつ,counter,five (things),N5,counter
