quiz_id,question_id,choice_id,sort_order,label,label_en,explanation,explanation_en
clauseUntangler,cu_001,a,1,かばん,かばん (Home),,
clauseUntangler,cu_001,b,2,昨日[きのう],昨日 (2 days ago),,
clauseUntangler,cu_001,c,3,軽[かる]さ,軽さ (Light),,
clauseUntangler,cu_001,d,4,店[みせ],店 (Shop),,
clauseUntangler,cu_002,a,1,田中[たなか]さん,田中さん (Mr. Tanaka),,
clauseUntangler,cu_002,b,2,パソコン,パソコン (PC),,
clauseUntangler,cu_002,c,3,新[あたら]しさ,新しさ (New),,
clauseUntangler,cu_002,d,4,部屋[へや],部屋 (Room),,
clauseUntangler,cu_003,a,1,駅[えき],駅 (Station),,
clauseUntangler,cu_003,b,2,近[ちか]く,近く (Close),,
clauseUntangler,cu_003,c,3,カフェ,カフェ (Cafe),,
clauseUntangler,cu_003,d,4,会[あ]い,会い (Home),,
clauseUntangler,cu_004,a,1,母[はは],母 (Mother),,
clauseUntangler,cu_004,b,2,持[も]ち物[もの],持ち物 (Home),,
clauseUntangler,cu_004,c,3,朝[あさ],朝 (Morning),,
clauseUntangler,cu_004,d,4,お弁当[べんとう],お弁当 (Bento),,
clauseUntangler,cu_005,a,1,レポート,レポート (Report),,
clauseUntangler,cu_005,b,2,締[し]め切[き]り,締め切り (),,
clauseUntangler,cu_005,c,3,金曜日[きんようび],金曜日 (Friday),,
clauseUntangler,cu_005,d,4,来週[らいしゅう],来週 (Next week),,
clauseUntangler,cu_006,a,1,角[かく],角 (Angle),,
clauseUntangler,cu_006,b,2,ところ,ところ (Home),,
clauseUntangler,cu_006,c,3,郵便局[ゆうびんきょく],郵便局 (Post Office),,
clauseUntangler,cu_006,d,4,道[みち],道 (),,
clauseUntangler,cu_007,a,1,名前[なまえ],名前 (Name),,
clauseUntangler,cu_007,b,2,忘[わす]れ,忘れ (Forget),,
clauseUntangler,cu_007,c,3,本[ほん],本,,
clauseUntangler,cu_007,d,4,図書館[としょかん],図書館 (Library),,
clauseUntangler,cu_008,a,1,社長[しゃちょう],社長 (President),,
clauseUntangler,cu_008,b,2,返信[へんしん],返信 (Replies),,
clauseUntangler,cu_008,c,3,内容[ないよう],内容 (),,
clauseUntangler,cu_008,d,4,メール,メール (Mail),,
clauseUntangler,cu_009,a,1,サイズ,サイズ (Size),,
clauseUntangler,cu_009,b,2,店員[てんいん],店員 (Staff),,
clauseUntangler,cu_009,c,3,服[ふく],服 (Clothing),,
clauseUntangler,cu_009,d,4,少[すこ]し,少し (a little),,
clauseUntangler,cu_010,a,1,明日[あす],明日 (),,
clauseUntangler,cu_010,b,2,荷物[にもつ],荷物 (Luggage),,
clauseUntangler,cu_010,c,3,追跡[ついせき],追跡 (),,
clauseUntangler,cu_010,d,4,配達員[はいたついん],配達員 (Contact Us),,
clauseUntangler,cu_011,a,1,話[はなし],話 (),,
clauseUntangler,cu_011,b,2,気持[きも]ち,気持ち (),,
clauseUntangler,cu_011,c,3,こと,こと (Home),,
clauseUntangler,cu_011,d,4,相手[あいて],相手 (),,
clauseUntangler,cu_012,a,1,社員[しゃいん],社員 (Company),,
clauseUntangler,cu_012,b,2,会社[かいしゃ],会社 (Company),,
clauseUntangler,cu_012,c,3,狭[せま]さ,狭さ (Close),,
clauseUntangler,cu_012,d,4,会議室[かいぎしつ],会議室 (Meeting Room),,
clauseUntangler,cu_013,a,1,メモ,メモ (),,
clauseUntangler,cu_013,b,2,急[いそ]ぎ,急ぎ (Close),,
clauseUntangler,cu_013,c,3,手紙[てがみ],手紙 (English),,
clauseUntangler,cu_013,d,4,内容[ないよう],内容 (),,
clauseUntangler,cu_014,a,1,明日[あす],明日 (),,
clauseUntangler,cu_014,b,2,課題[かだい],課題 (),,
clauseUntangler,cu_014,c,3,学生[がくせい],学生 (Student),,
clauseUntangler,cu_014,d,4,教室[きょうしつ],教室 (Classroom),,
clauseUntangler,cu_015,a,1,国[くに],国 (Country),,
clauseUntangler,cu_015,b,2,隣[となり],隣 (Close),,
clauseUntangler,cu_015,c,3,学生[がくせい],学生 (Student),,
clauseUntangler,cu_015,d,4,教室[きょうしつ],教室 (Classroom),,
clauseUntangler,cu_016,a,1,兄[あに],兄 (Brother),,
clauseUntangler,cu_016,b,2,気持[きも]ち,気持ち (),,
clauseUntangler,cu_016,c,3,店[みせ],店 (Shop),,
clauseUntangler,cu_016,d,4,プレゼント,プレゼント (Home),,
clauseUntangler,cu_017,a,1,海[うみ],海 (Sea),,
clauseUntangler,cu_017,b,2,窓[まど],窓 (Window),,
clauseUntangler,cu_017,c,3,景色[けしき],景色 (Views),,
clauseUntangler,cu_017,d,4,ホテル,ホテル (Hotels),,
clauseUntangler,cu_018,a,1,去年[きょねん],去年 (Last year),,
